epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
1,92.0129817112998,99.7601649248857,87.6008064516129,99.59677419354838
2,93.29890594382756,99.74995917700849,87.75201612903226,99.64717741935483
3,94.66239386022208,99.84385205747877,87.90322580645162,98.7399193548387
4,95.79523187459176,99.85201665578053,88.50806451612904,99.64717741935483
5,96.61883572828216,99.85201665578053,90.67540322580645,99.39516129032258
6,97.29037393860222,99.87344872632266,89.46572580645162,99.09274193548387
7,97.65573971260613,99.88671619856304,90.3225806451613,99.44556451612904
8,97.99559111691704,99.90100424559111,89.81854838709677,99.44556451612904
9,98.26604343566297,99.90406596995427,90.12096774193549,99.14314516129032
10,98.43035597648596,99.89692194644023,90.7258064516129,99.49596774193549
11,98.54466035271065,99.91937459177008,90.7258064516129,99.6975806451613
12,98.71509634225995,99.91427171783148,90.67540322580645,99.54637096774194
13,98.80082462442847,99.91631286740693,83.61895161290323,99.54637096774194
14,98.87124428478118,99.91835401698236,91.02822580645162,99.39516129032258
15,98.94064337034618,99.91835401698236,91.12903225806451,99.64717741935483
16,99.0263716525147,99.93162148922274,90.5241935483871,99.74798387096774
17,99.04576257348138,99.93774493794905,90.97782258064517,99.8991935483871
18,99.09066786414108,99.91631286740693,90.5241935483871,99.59677419354838
19,99.17945787067276,99.9397860875245,91.83467741935483,99.49596774193549
20,99.21721913781842,99.93876551273678,91.43145161290323,99.8991935483871
